date,brentcrude,djia,wticrude,hhnatgas,gold,nasdaq,sp500,wl500,chyusd,inrusd,jpyusd,eurusd
2010-04-30,85.982,11083.644,84.21799999999999,4.156000000000001,1163.15,2487.852,1196.118,48.104,6.825460000000001,44.41799999999999,93.90799999999999,1.32482
2010-05-31,75.30631578947369,10465.894736842105,73.08842105263157,4.154736842105263,1204.3210526315788,2309.791578947368,1121.0005263157896,45.033157894736846,6.827605263157894,45.83789473684211,91.83052631578948,1.2530526315789474
2010-06-30,74.7609090909091,10159.267272727271,75.3359090909091,4.801363636363638,1232.3818181818183,2235.229545454546,1083.3609090909092,43.60681818181817,6.818440909090909,46.498295454545456,90.8059090909091,1.2223363636363633
2010-07-31,75.58,10222.242380952379,76.3195238095238,4.626666666666667,1195.404761904762,2210.273809523809,1079.8033333333333,43.46238095238095,6.776233333333334,46.76166666666667,87.50047619047619,1.2810571428571431
2010-08-31,77.08666666666666,10366.618571428571,76.69000000000001,4.3409523809523805,1213.4642857142858,2209.34380952381,1089.1090476190477,43.88000000000001,6.786542857142856,46.44095238095238,85.40619047619047,1.2913238095238093
2010-09-30,77.8404761904762,10598.066190476193,75.24190476190476,3.8942857142857137,1272.507142857143,2298.3461904761903,1122.0819047619048,45.407619047619036,6.739647619047619,45.87285714285713,84.35714285714282,1.3102857142857143
2010-10-31,82.644,11046.1925,81.8785,3.4345,1342.925,2443.244,1171.8969999999997,47.66,6.667789999999999,44.354,81.72850000000001,1.390095
2010-11-30,85.1345,11194.073499999997,84.077,3.7129999999999996,1369.7875,2529.763,1198.156,49.00900000000001,6.653809999999998,44.93150000000001,82.51799999999997,1.3654249999999999
2010-12-31,91.15789473684208,11448.82,88.80842105263156,4.268421052631578,1393.3157894736842,2626.9110526315794,1238.9405263157894,50.938421052631575,6.652005263157894,45.09684210526316,83.41947368421054,1.3230526315789473
2011-01-31,96.56052631578946,11809.297894736841,89.04315789473685,4.491052631578948,1360.6315789473683,2718.5605263157895,1283.1842105263158,52.76736842105262,6.5967789473684215,45.416315789473686,82.68105263157894,1.337063157894737
